texto,intencion
El case MagSafe le hace al 13 Pro?,consulta_producto
Esto es inaceptable exijo que me atiendan de inmediato,escalamiento_urgente
Me entregaron mi cel sin la funda que traia,queja_producto_servicio
Cuánto más falta para terminar mi reparación?,seguimiento_reparacion
Hacen cambio de batería el mismo día,consulta_servicio_tecnico
Nadie me avisó que se había atrasado mi reparación,queja_producto_servicio
Hola quería saber el estado de mi cel,seguimiento_reparacion
Ya son 3 días y no me han llamado ¿qué pasó con mi cel?,seguimiento_reparacion
Cuanto esta el iPhone 12 reacondicionado,consulta_precio
Me avisan por WhatsApp cuando este listo?,seguimiento_reparacion
¿Arreglan el Touch ID que dejó de funcionar?,consulta_servicio_tecnico
"No funciona, no hice nada",queja_producto_servicio
¿Como hago para usar la garantia de la reparacion?,solicitud_garantia_cambio
Trabajan con garantia en las reparaciones?,consulta_servicio_tecnico
Cual es el numero de mi orden para hacer seguimiento?,seguimiento_reparacion
Cuánto cobran por el diagnóstico si no es garantía?,consulta_precio
Me dijeron que estaría listo en 2 días y ya van 5,queja_producto_servicio
De la nada dejo de prender su pantalla,queja_producto_servicio
La mica se rompio sola quiero el cambio,solicitud_garantia_cambio
ya esta reparado?,seguimiento_reparacion
¿Trabajan con garantía en las reparaciones?,consulta_servicio_tecnico
No puedo seguir esperando necesito que resuelvan hoy,escalamiento_urgente
"llego mucho tiempo esperando, contactame con alguna persona",escalamiento_urgente
¿Cuanto esta la mica antiespia?,consulta_precio
exijo un cambio,solicitud_garantia_cambio
Tienen cases para el 14 Plus?,consulta_producto
entonces este producto cuesta asi?,consulta_precio
No entiendo? no existe alguien que pueda solucionar mi problema?,escalamiento_urgente
Reparan la vibración si dejó de funcionar?,consulta_servicio_tecnico
el mas caro?,consulta_precio
Cuanto sale instalar la mica en tienda?,consulta_precio
Gracias igualmente que estén bien,saludo_cierre
¿Hacen cambio de batería el mismo día?,consulta_servicio_tecnico
"no se que paso, dejo de funcionar, pueden revisar el equipo?",consulta_servicio_tecnico
Nadie me aviso que se habia atrasado mi reparacion,queja_producto_servicio
La bateria fallo otra vez quiero que respondan por garantia,solicitud_garantia_cambio
no es lo que buscaba voy a devolverlo,solicitud_garantia_cambio
Hay descuento si llevo el cel con case y mica?,consulta_precio
Cambian microfono si no se escucha nada?,consulta_servicio_tecnico
¿Tienen alguna promo por cantidad?,consulta_precio
Quiero garantía escrita antes de aceptar el cambio,solicitud_garantia_cambio
Ya se hizo el cambio de pantalla que dejé ayer?,seguimiento_reparacion
Gracias por la atencion,saludo_cierre
Me pueden avisar cuando este lista la reparacion?,seguimiento_reparacion
Me pueden comunicar con alguien que me solucione esto?,escalamiento_urgente
La reparación demoró el doble de lo prometido,queja_producto_servicio
Tienen algun precio especial para empresas,consulta_precio
Pueden revisar de nuevo la reparacion sin costo?,solicitud_garantia_cambio
Tienen disponible el case con correa?,consulta_producto
Necesito hablar con una persona no con un bot,escalamiento_urgente
Tienen mica completa para el iPhone 14?,consulta_producto
Tienen garantía de fábrica en los productos nuevos?,consulta_producto
cuanto seria si compro mas de un producto?,consulta_precio
Hacen reparación de Face ID?,consulta_servicio_tecnico
La mica se burbujeo sola ¿me la cambian?,solicitud_garantia_cambio
A qué número me llaman cuando esté listo,seguimiento_reparacion
Vale gracias quedo atento,saludo_cierre
Hacen envios a provincia?,consulta_producto
Buenas noches disculpen la molestia,saludo_cierre
El case que compre llego con un rayon,queja_producto_servicio
Me entregaron mi cel con una mancha en pantalla que antes no tenía,queja_producto_servicio
Buenos días dejé mi cel ayer para cambio de pantalla ¿ya está listo?,seguimiento_reparacion
La mica que me vendieron se despegó al día siguiente,queja_producto_servicio
A qué número me llaman cuando esté listo?,seguimiento_reparacion
Esto no puede esperar necesito atención prioritaria,escalamiento_urgente
Cuanto sale la mica trasera para el 14 Pro Max?,consulta_precio
Reparan la vibracion si dejo de funcionar?,consulta_servicio_tecnico
Hacen mantenimiento preventivo de bateria?,consulta_servicio_tecnico
Hacen respaldo de datos antes de reparar?,consulta_servicio_tecnico
Cuanto demoran en cambiar una pantalla rajada,consulta_servicio_tecnico
Me pueden avisar cuando este lista la reparacion,seguimiento_reparacion
Requiero solucion urgente antes de que termine el dia,escalamiento_urgente
Llevo horas escribiendo y nadie responde es urgente,escalamiento_urgente
puede enviarle el catalago? con los precios porfavor,consulta_precio
Esto es urgente mi cel es mi único medio de trabajo,escalamiento_urgente
Hacen reparacion de Face ID?,consulta_servicio_tecnico
Compré el protector ayer y ya se levantó por las esquinas ¿me lo cambian?,solicitud_garantia_cambio
Hola buen día,saludo_cierre
solo llama a una persona que sepa ayudarme,escalamiento_urgente
Ya se hizo el cambio de pantalla que deje ayer?,seguimiento_reparacion
quisiera saber si pueden solucionar el problema,consulta_servicio_tecnico
Dejé mi cel el miércoles ya está listo?,seguimiento_reparacion
Ya son 3 dias y no me han llamado ¿que paso con mi cel?,seguimiento_reparacion
Cuanto cuesta si solo es cambio de vidrio sin pantalla?,consulta_servicio_tecnico
Qué precio tiene la mica templada para el 16?,consulta_precio
Cuanto demora el cambio de bateria?,consulta_servicio_tecnico
Hacen diagnóstico a domicilio?,consulta_servicio_tecnico
A cuánto está el protector de cámara?,consulta_precio
"No prende, apenas lo compre ayer",queja_producto_servicio
"Ya me canse de esperar, necesito hablar con alguien ahora mismo",escalamiento_urgente
A cuánto la mica completa para el 14 Pro,consulta_precio
Listo entonces paso mañana,saludo_cierre
Quiero cambiar el pedido llego incompleto,solicitud_garantia_cambio
Esto es pésimo servicio necesito una solución ya,escalamiento_urgente
¿En qué colores tienen el iPhone 16?,consulta_producto
Ya quedo claro gracias por todo,saludo_cierre
La mica se rompió sola quiero el cambio,solicitud_garantia_cambio
Cuanto mas falta para terminar mi reparacion?,seguimiento_reparacion
Esto es un abuso ya me tienen cansado,escalamiento_urgente
Dejé mi celular el viernes ¿ya llegaron los repuestos?,seguimiento_reparacion
Esto es urgente mi cel es mi unico medio de trabajo,escalamiento_urgente
que modelos de mac tiene?,consulta_producto
Ok gracias por la info voy a pensarlo,saludo_cierre
despues de dos dias de uso dejo de funcionar,queja_producto_servicio
¿Qué accesorios tienen para el iPhone 12?,consulta_producto
Ya llegaron los repuestos para mi reparación?,seguimiento_reparacion
puedo ver sus modelitos?,consulta_producto
Cambian la pantalla original o es generica?,consulta_servicio_tecnico
La pantalla que me cambiaron no responde bien al tacto,queja_producto_servicio
La mica que me vendieron se despego al dia siguiente,queja_producto_servicio
Tienen protector de camara para el 15 Pro?,consulta_producto
Quiero hacer válida la garantía de mi reparación,solicitud_garantia_cambio
Contactame con alguien,escalamiento_urgente
Mi iPhone se reinicia solo podrian verlo?,consulta_servicio_tecnico
Cuanto tiempo llevan trabajando mi cel?,seguimiento_reparacion
"No funcionar, quiero que me lo cambien",solicitud_garantia_cambio
Dejé mi iPhone 12 el lunes para revisión aún nada?,seguimiento_reparacion
"al final, recibire algun descuento? cuanto seria?",consulta_precio
Puedo pasar mañana a recoger mi iPhone?,seguimiento_reparacion
Quiero una solución hoy mismo no mañana,escalamiento_urgente
Mi iPhone se reinicia solo podrían verlo?,consulta_servicio_tecnico
Reparan el altavoz si suena bajito?,consulta_servicio_tecnico
tiene disponible la ultima version del MacBooks Air,consulta_producto
Tienen el iPhone 15 Pro en 256GB?,consulta_producto
necesito que me cambien mi compra,solicitud_garantia_cambio
Arreglan el Touch ID que dejó de funcionar,consulta_servicio_tecnico
¿Me pueden avisar cuando esté lista la reparación?,seguimiento_reparacion
A que hora cierran para poder recoger mi cel?,seguimiento_reparacion
"llamalo ahora mismo, necesito a alguien que si sepa ayudarme",escalamiento_urgente
El case llego sin empaque ni garantia escrita,queja_producto_servicio
Me dijeron 2 dias y ya paso una semana que paso?,seguimiento_reparacion
¿Puedo pasar a recoger hoy o todavía no está?,seguimiento_reparacion
Quiero hablar con el encargado por favor,escalamiento_urgente
Sigue en cola mi reparación o ya empezaron?,seguimiento_reparacion
Arreglan el Touch ID que dejo de funcionar?,consulta_servicio_tecnico
Necesito que me devuelvan la llamada de inmediato,escalamiento_urgente
Tienen el 14 Pro Max en 512GB?,consulta_producto
Me cambiaron la pantalla y quedo con una linea verde,queja_producto_servicio
La mica se despegó de una esquina al segundo día,queja_producto_servicio
Necesito cambiar la mica que vino con defecto,solicitud_garantia_cambio
"me lo entregaron sin funcionar, no prende",queja_producto_servicio
alguno de ustedes puede solucionar la falla de mi nuevo celular?,consulta_servicio_tecnico
¿La mica antiespía le hace al 15 Pro Max?,consulta_producto
Hacen cambio de bateria el mismo dia,consulta_servicio_tecnico
A cuanto sale el iPhone 12 mini?,consulta_precio
Ya quedó claro gracias por todo,saludo_cierre
La bateria que me pusieron se acaba rapidisimo,queja_producto_servicio
puedo por lo menos saber si algun dia una persona me ayudara?,escalamiento_urgente
"no cumple con lo que dijeron, quiero que lo cambien",solicitud_garantia_cambio
Hola que tal,saludo_cierre
Hola buen dia,saludo_cierre
dejo de funcionar,queja_producto_servicio
Hacen reparación de puerto de carga?,consulta_servicio_tecnico
Quiero devolver el cargador no sirve,solicitud_garantia_cambio
A cuanto sale el case de silicona para el 13 mini?,consulta_precio
se puede arreglar mi producto?,consulta_servicio_tecnico
¿La garantia aplica si yo no lo golpee?,solicitud_garantia_cambio
Ya escribi tres veces necesito que me atiendan ya,escalamiento_urgente
A cuánto me sale el iPhone 15?,consulta_precio
Me prometieron llamarme y nunca lo hicieron,queja_producto_servicio
Hacen diagnostico a domicilio?,consulta_servicio_tecnico
Cuál es el número de mi orden para hacer seguimiento?,seguimiento_reparacion
quisiera saber los costos del producto,consulta_precio
Me atendieron mal cuando fui a reclamar,queja_producto_servicio
Tienen stock del 16 Pro Max,consulta_producto
El case le hace al iPhone 14 Plus tambien?,consulta_producto
"en este preciso momento no puedo seguir asi, llama a alguien",escalamiento_urgente
Que colores manejan del 16 Pro?,consulta_producto
no funciona,queja_producto_servicio
Necesito que me cambien el accesorio por uno nuevo,solicitud_garantia_cambio
Exijo hablar con alguien con autoridad para resolver esto,escalamiento_urgente
Tienen garantia de fabrica en los productos nuevos?,consulta_producto
Quiero garantía por la batería que se agota rápido,solicitud_garantia_cambio
¿A cuanto el case MagSafe para el 14?,consulta_precio
Necesito que revisen de nuevo mi cel por la misma falla,solicitud_garantia_cambio
Cuánto sale el iPhone 16 Plus nuevo?,consulta_precio
Esto ya es demasiado quiero solucion inmediata,escalamiento_urgente
A cuanto me sale la mica normal para el 13,consulta_precio
Listo gracias por la info,saludo_cierre
Esto no puede esperar necesito atencion prioritaria,escalamiento_urgente
Trabajan con garantía en las reparaciones?,consulta_servicio_tecnico
¿Cuánto está la mica antiespía?,consulta_precio
El accesorio que compré dejó de funcionar en dos días,queja_producto_servicio
Cual es el precio del iPhone 15 de 256GB?,consulta_precio
¿Cuanto esta el iPhone 12 reacondicionado?,consulta_precio
¿Le hace al iPhone 13 el case MagSafe?,consulta_producto
Me entregaron el cel con una raya que no tenía antes,queja_producto_servicio
La mica antiespía no bloquea nada de verdad,queja_producto_servicio
Me cambiaron la pantalla y quedo mala quiero que la revisen de nuevo,solicitud_garantia_cambio
Puedo llamar para preguntar por mi orden de reparación?,seguimiento_reparacion
Tienen el 16e disponible?,consulta_producto
Que precio tiene la mica templada para el 16?,consulta_precio
que tipo de productos tiene disponible?,consulta_producto
La batería que me pusieron se acaba rapidísimo,queja_producto_servicio
arreglar su pantalla?,seguimiento_reparacion
Hola buenas tengo una duda rapida,saludo_cierre
Dejé mi cel para diagnóstico el jueves pasado,seguimiento_reparacion
¿Precio del case transparente para el 15?,consulta_precio
La garantia cubre si el case se despega solo?,solicitud_garantia_cambio
Mi cel cayo y la pantalla quedo rajada ¿cuanto me sale arreglarlo?,consulta_servicio_tecnico
Ya me toca recoger mi cel o todavia no?,seguimiento_reparacion
¿Cómo hago para usar la garantía de la reparación?,solicitud_garantia_cambio
¿A cuanto me sale la mica normal para el 13?,consulta_precio
A cuanto esta el protector de camara?,consulta_precio
ya esta bien? se soluciono el problema?,seguimiento_reparacion
La pantalla nueva tiene un punto blanco,queja_producto_servicio
Cuanto cuesta el iPhone 14 Pro Max?,consulta_precio
pueden ayudarme?,consulta_servicio_tecnico
Perfecto muchas gracias,saludo_cierre
Cuánto está la mica antiespía,consulta_precio
Hola espero esten bien queria consultar,saludo_cierre
Chau gracias por todo,saludo_cierre
puede mandarme los precios de los otros productos?,consulta_precio
¿Tienen protector para el iPhone 13 mini?,consulta_producto
El servicio tecnico trabaja con repuestos sellados?,consulta_servicio_tecnico
Cuánto dura la garantía de la pantalla cambiada?,solicitud_garantia_cambio
A cuánto me sale el combo case mas mica?,consulta_precio
Tienen algun precio especial para empresas?,consulta_precio
Me cobraron de más por el diagnóstico,queja_producto_servicio
Pueden revisar de nuevo la reparación sin costo?,solicitud_garantia_cambio
Buenas tardes ¿estan atendiendo?,saludo_cierre
Hola buenas quería consultar algo,saludo_cierre
Quiero cambiar el pedido llegó incompleto,solicitud_garantia_cambio
Necesito que prioricen mi caso es urgente de verdad,escalamiento_urgente
se corrigio o todavia no,seguimiento_reparacion
Llego danado,queja_producto_servicio
Buenos dias deje mi cel ayer para cambio de pantalla ¿ya esta listo?,seguimiento_reparacion
"se apago, y no prende",queja_producto_servicio
¿Cuánto demoran en cambiar una pantalla rajada?,consulta_servicio_tecnico
¿Ya revisaron mi iPhone? Lo deje para diagnostico,seguimiento_reparacion
De la nada se apago que paso? porque no funciona?,queja_producto_servicio
Cuánto tiempo llevan trabajando mi cel?,seguimiento_reparacion
Cambian la cámara trasera del iPhone 11,consulta_servicio_tecnico
Cuanto vale el cargador MagSafe original?,consulta_precio
Hola buen dia una consulta rapida,saludo_cierre
Tienen descuento para estudiantes?,consulta_precio
Mi cel no carga bien podrían revisarlo?,consulta_servicio_tecnico
Hay rebaja por pago en efectivo?,consulta_precio
Cuanto me sale el iPhone 16 Pro de 128,consulta_precio
¿Tienen el iPhone 15 Pro en 256GB?,consulta_producto
Cuanto sale cambiar el vidrio trasero?,consulta_servicio_tecnico
Quiero hacer valida la garantia de mi reparacion,solicitud_garantia_cambio
Reparan si el cel no enciende para nada?,consulta_servicio_tecnico
Hola ¿a qué hora abren hoy?,saludo_cierre
Es urgente mi cel se apago y tengo algo importante hoy,escalamiento_urgente
se logro corregir las fallas?,seguimiento_reparacion
Tienen cases para el 14 Plus,consulta_producto
Cuanto tiempo de garantia tienen los accesorios,solicitud_garantia_cambio
El protector de camara viene con instalacion incluida?,consulta_producto
dispone de cargadores MagSafe?,consulta_producto
Aplica la garantia si fue un defecto de fabrica?,solicitud_garantia_cambio
A como esta el iPhone 11 usado?,consulta_precio
puede recomendarme algun producto?,consulta_producto
y el mas economico?,consulta_precio
A cuánto me sale el iPhone 15,consulta_precio
¿Me pueden avisar cuando este lista la reparacion?,seguimiento_reparacion
todavia no se corrige?,seguimiento_reparacion
cual es el precio de ese modelo de ordenador?,consulta_precio
Hay algún supervisor disponible?,escalamiento_urgente
¿Hay algún supervisor disponible?,escalamiento_urgente
Hacen mantenimiento preventivo de batería?,consulta_servicio_tecnico
Me vendieron un repuesto que no era original,queja_producto_servicio
Hola siguen atendiendo hoy?,saludo_cierre
Me entregaron mi cel sin la funda que traía,queja_producto_servicio
Alguien me puede dar info del estado de mi reparación?,seguimiento_reparacion
"Ni siquiera anotaron bien mi producto, me entregaron cualquier cosa",queja_producto_servicio
Me pueden cambiar el protector si no funciona bien?,solicitud_garantia_cambio
Cuánto está el cambio de pantalla para el iPhone 14,consulta_servicio_tecnico
"mi nuevo producto fallo, pueden revisarlo?",consulta_servicio_tecnico
A cuanto el case MagSafe para el 14,consulta_precio
Buenas quería saber algo antes de comprar,saludo_cierre
Puedo pasar a recoger hoy o todavía no está?,seguimiento_reparacion
Tienen técnico especializado en placas?,consulta_servicio_tecnico
La batería que me pusieron no dura nada ¿tienen garantía?,solicitud_garantia_cambio
Me dijeron un precio y en la boleta salió más caro,queja_producto_servicio
Deje mi celular el viernes ¿ya llegaron los repuestos?,seguimiento_reparacion
¿Hacen diagnostico? Mi cel no prende,consulta_servicio_tecnico
Me cobraron de mas por el diagnostico,queja_producto_servicio
Cuanto me sale cambiar la bateria de mi iPhone 13?,consulta_servicio_tecnico
Tienen precio especial si compro dos mica?,consulta_precio
Hola disculpen la hora,saludo_cierre
ya esta funcionando?,seguimiento_reparacion
¿Cuanto me sale el iPhone 16 Pro de 128?,consulta_precio
Me entregaron mi cel con una mancha en pantalla que antes no tenia,queja_producto_servicio
Manejan accesorios para el iPhone SE?,consulta_producto
Sigue en cola mi reparacion o ya empezaron?,seguimiento_reparacion
"me llego roto, cambienme el modelo",solicitud_garantia_cambio
Que accesorios tienen para el iPhone 12?,consulta_producto
solo necesito que tu supervisor me responda,escalamiento_urgente
Perfecto ya paso en la tarde,saludo_cierre
Tienen protector para el iPhone 13 mini,consulta_producto
Tienen audifonos compatibles con iPhone?,consulta_producto
Cuanto esta saliendo el iPhone 13 reacondicionado ahora?,consulta_precio
Tienen tecnico especializado en placas?,consulta_servicio_tecnico
A cuánto sale el case de silicona para el 13 mini?,consulta_precio
El cargador que me vendieron no carga bien,queja_producto_servicio
Gracias por la atención,saludo_cierre
Cuánto sale cambiar el vidrio trasero?,consulta_servicio_tecnico
Puedo llamar para preguntar por mi orden de reparacion?,seguimiento_reparacion
Me pueden decir el precio del case con MagSafe integrado?,consulta_precio
Cuánto cuesta si solo es cambio de vidrio sin pantalla?,consulta_servicio_tecnico
El case le hace al iPhone 14 Plus también?,consulta_producto
Cual es el costo de envio si lo pido a domicilio?,consulta_precio
Me entregaron el cel con una raya que no tenia antes,queja_producto_servicio
Deje mi cel el miercoles ya esta listo?,seguimiento_reparacion
Tienen el iPhone 16 en color titanio?,consulta_producto
Mi cel se mojó ¿pueden revisarlo?,consulta_servicio_tecnico
que tipo de accesorios hay para mi celular?,consulta_producto
¿Tienen stock del 16 Pro Max?,consulta_producto
Hola ¿a qué hora puedo recoger mi iPhone?,seguimiento_reparacion
Me vendieron una mica que no le hace bien a mi iPhone,queja_producto_servicio
Deje mi iPhone 12 el lunes para revision aun nada?,seguimiento_reparacion
A cuanto me sale el combo case mas mica?,consulta_precio
Hola buenas noches,saludo_cierre
"con todos sus accesorios, puede decirme el total.",consulta_precio
El case llego sin la caja y sin accesorios,queja_producto_servicio
cambienmelo porque no es lo que esperaba,solicitud_garantia_cambio
Compre el protector ayer y ya se levanto por las esquinas ¿me lo cambian?,solicitud_garantia_cambio
¿Cambian la cámara trasera del iPhone 11?,consulta_servicio_tecnico
Puedo cambiar el case dentro de los 7 dias de comprado?,solicitud_garantia_cambio
La reparación quedó con un ruido raro en el altavoz,queja_producto_servicio
A cuánto el case MagSafe para el 14?,consulta_precio
Cuánto tiempo de garantía tienen los accesorios?,solicitud_garantia_cambio
Gracias ya me queda claro,saludo_cierre
La garantia aplica si yo no lo golpee,solicitud_garantia_cambio
Esto es grave necesito que lo resuelvan hoy mismo,escalamiento_urgente
¿Cuánto está el cambio de pantalla para el iPhone 14?,consulta_servicio_tecnico
no prende por alguna razon,queja_producto_servicio
Cuánto tiempo de garantía tienen los accesorios,solicitud_garantia_cambio
Hola buen día una consulta rápida,saludo_cierre
El case que compré llegó con un rayón,queja_producto_servicio
"ocurrio un problema con mi compra, quisiera saber si se puede arreglar",consulta_servicio_tecnico
¿Hacen diagnóstico? Mi cel no prende,consulta_servicio_tecnico
Ya escribí tres veces necesito que me atiendan ya,escalamiento_urgente
