texto,intencion
¿Cuánto tiempo más falta para que esté listo?,seguimiento_reparacion
Dejé mi celular el viernes ¿ya llegaron los repuestos?,seguimiento_reparacion
¿Me pueden avisar cuando esté lista la reparación?,seguimiento_reparacion
¿A qué número me llaman cuando esté listo?,seguimiento_reparacion
Dejé mi cel hace 4 días y no sé nada ¿pueden decirme cómo va?,seguimiento_reparacion
¿Ya revisaron mi iPhone? Lo dejé para diagnóstico,seguimiento_reparacion
¿Puedo pasar a recoger hoy o todavía no está?,seguimiento_reparacion
La mica que me vendieron se despegó al día siguiente,queja_producto_servicio
El case que compré llegó con un rayón,queja_producto_servicio
Me cambiaron la pantalla y quedó con una línea verde,queja_producto_servicio
Me dijeron que estaría listo en 2 días y ya van 5,queja_producto_servicio
La batería que me pusieron se acaba rapidísimo,queja_producto_servicio
Me vendieron una mica que no le hace bien a mi iPhone,queja_producto_servicio
El case MagSafe no carga los imanes no jalan bien,queja_producto_servicio
Me entregaron mi cel con una mancha en pantalla que antes no tenía,queja_producto_servicio
Compré un protector y ya se rajó sin haberlo golpeado,queja_producto_servicio
Me prometieron llamarme y nunca lo hicieron,queja_producto_servicio
La pantalla que me cambiaron no responde bien al tacto,queja_producto_servicio
El case llegó sin la caja y sin accesorios,queja_producto_servicio
Quiero cambiar la mica no le hace bien a mi iPhone 14,solicitud_garantia_cambio
Me vendieron el case equivocado ¿me lo pueden cambiar?,solicitud_garantia_cambio
La batería que me pusieron no dura nada ¿tienen garantía?,solicitud_garantia_cambio
Compré el protector ayer y ya se levantó por las esquinas ¿me lo cambian?,solicitud_garantia_cambio
Me cambiaron la pantalla y quedó mala quiero que la revisen de nuevo,solicitud_garantia_cambio
El case llegó defectuoso ¿puedo devolverlo?,solicitud_garantia_cambio
¿Cuánto tiempo de garantía tienen los accesorios?,solicitud_garantia_cambio
Quiero que revisen mi cel la reparación no quedó bien,solicitud_garantia_cambio
¿La garantía aplica si yo no lo golpeé?,solicitud_garantia_cambio
Me dieron el case de un modelo diferente al que pedí,solicitud_garantia_cambio
La mica se burbujeó sola ¿me la cambian?,solicitud_garantia_cambio
¿Cómo hago para usar la garantía de la reparación?,solicitud_garantia_cambio
Hola buen día,saludo_cierre
Buenas tardes ¿están atendiendo?,saludo_cierre
Hola ¿siguen abiertos?,saludo_cierre
Gracias ya me queda claro,saludo_cierre
Listo gracias por la info,saludo_cierre
Ok perfecto voy a pasar por la tienda,saludo_cierre
Muchas gracias hasta luego,saludo_cierre
Hola ¿a qué hora abren hoy?,saludo_cierre
Ok ya con eso está. Gracias,saludo_cierre
Chau gracias por todo,saludo_cierre
Hola buenas quería consultar algo,saludo_cierre
Perfecto ya paso en la tarde,saludo_cierre
Quiero hablar con el encargado por favor,escalamiento_urgente
Esto es un abuso ya me tienen cansado,escalamiento_urgente
¿Me pueden comunicar con alguien que me solucione esto?,escalamiento_urgente
Necesito hablar con una persona no con un bot,escalamiento_urgente
Exijo que me devuelvan mi dinero,escalamiento_urgente
Voy a poner una queja formal si no me solucionan esto hoy,escalamiento_urgente
Llevo una semana esperando y nadie me da respuesta,escalamiento_urgente
¿Hay algún supervisor disponible?,escalamiento_urgente
Necesito una solución ahora no mañana,escalamiento_urgente
Si no me atienden bien voy a poner reseña en Google,escalamiento_urgente
Quiero hablar con el dueño directamente,escalamiento_urgente
Esto es pésimo servicio necesito una solución ya,escalamiento_urgente
Cuánto cuesta el iPhone 14 Pro Max?,consulta_precio
Qué precio tiene la mica templada para el 16?,consulta_precio
A cuánto sale el case de silicona para el 13 mini?,consulta_precio
Tienen precio especial si compro dos mica?,consulta_precio
Cuánto vale el cargador MagSafe original?,consulta_precio
A cómo está el iPhone 11 usado?,consulta_precio
Cuánto sale instalar la mica en tienda?,consulta_precio
Hay rebaja por pago en efectivo?,consulta_precio
A cuánto me sale el combo case mas mica?,consulta_precio
Cuál es el precio del iPhone 15 de 256GB?,consulta_precio
Cuánto cuesta el cambio de batería original?,consulta_precio
Tienen precio por mayor para revendedores?,consulta_precio
A cuánto está el protector de cámara?,consulta_precio
Cuánto sale el iPhone 16 Plus nuevo?,consulta_precio
Me pueden decir el precio del case con MagSafe integrado?,consulta_precio
Cuánto cobran por el diagnóstico si no es garantía?,consulta_precio
A cuánto sale la mica de privacidad?,consulta_precio
Tienen descuento para estudiantes?,consulta_precio
Cuánto está saliendo el iPhone 13 reacondicionado ahora?,consulta_precio
Precio del case antigolpes para el 15 Pro Max?,consulta_precio
Cuánto me costaría cambiar pantalla y batería juntos?,consulta_precio
A cuánto sale el iPhone 12 mini?,consulta_precio
Cuál es el costo de envío si lo pido a domicilio?,consulta_precio
Tienen oferta esta semana en accesorios?,consulta_precio
Cuánto sale la mica trasera para el 14 Pro Max?,consulta_precio
Tienen el iPhone 16 en color titanio?,consulta_producto
Manejan case con soporte para tarjetas?,consulta_producto
Tienen protector de cámara para el 15 Pro?,consulta_producto
El case antigolpes le queda al 12?,consulta_producto
Tienen stock de mica mate?,consulta_producto
Venden cargadores originales Apple?,consulta_producto
Tienen el 14 Pro Max en 512GB?,consulta_producto
Hacen envíos a provincia?,consulta_producto
Tienen audífonos compatibles con iPhone?,consulta_producto
El case transparente amarillea con el tiempo?,consulta_producto
Tienen repuestos originales para batería?,consulta_producto
Manejan accesorios para el iPhone SE?,consulta_producto
Tienen mica de vidrio templado 9H?,consulta_producto
Qué colores manejan del 16 Pro?,consulta_producto
Tienen disponible el case con correa?,consulta_producto
El protector de cámara viene con instalación incluida?,consulta_producto
Tienen iPhone 13 Pro en color grafito?,consulta_producto
Manejan power bank compatible con MagSafe?,consulta_producto
Tienen algo para proteger los bordes del cel?,consulta_producto
Hacen pedidos personalizados de case?,consulta_producto
Tienen el 16e disponible?,consulta_producto
Venden solo la mica sin instalación?,consulta_producto
Tienen stock para entrega hoy mismo?,consulta_producto
El case le hace al iPhone 14 Plus también?,consulta_producto
Tienen garantía de fábrica en los productos nuevos?,consulta_producto
Cuánto demora el cambio de batería?,consulta_servicio_tecnico
Hacen reparación de puerto de carga?,consulta_servicio_tecnico
Mi cel no carga bien podrían revisarlo?,consulta_servicio_tecnico
Cambian micrófono si no se escucha nada?,consulta_servicio_tecnico
Hacen limpieza interna si se mojó el cel?,consulta_servicio_tecnico
Reparan el altavoz si suena bajito?,consulta_servicio_tecnico
Cuánto sale cambiar el vidrio trasero?,consulta_servicio_tecnico
Hacen diagnóstico gratis o tiene costo?,consulta_servicio_tecnico
Cambian la pantalla original o es genérica?,consulta_servicio_tecnico
Mi iPhone se reinicia solo podrían verlo?,consulta_servicio_tecnico
Hacen reparación de Face ID?,consulta_servicio_tecnico
Cuánto tiempo de garantía dan por reparación?,consulta_servicio_tecnico
Reparan iPhone con daño de agua severo?,consulta_servicio_tecnico
Cambian conector de carga tipo USB-C?,consulta_servicio_tecnico
Hacen mantenimiento preventivo de batería?,consulta_servicio_tecnico
Mi cel se calienta mucho podrían revisar por qué?,consulta_servicio_tecnico
Reparan la vibración si dejó de funcionar?,consulta_servicio_tecnico
Cuánto cuesta si solo es cambio de vidrio sin pantalla?,consulta_servicio_tecnico
Hacen respaldo de datos antes de reparar?,consulta_servicio_tecnico
El servicio técnico trabaja con repuestos sellados?,consulta_servicio_tecnico
Cambian botones de volumen si están duros?,consulta_servicio_tecnico
Hacen diagnóstico a domicilio?,consulta_servicio_tecnico
Reparan si el cel no enciende para nada?,consulta_servicio_tecnico
Cuánto demora un cambio de pantalla express?,consulta_servicio_tecnico
Tienen técnico especializado en placas?,consulta_servicio_tecnico
Dejé mi cel el miércoles ya está listo?,seguimiento_reparacion
Cómo va el diagnóstico de mi iPhone?,seguimiento_reparacion
Ya llegaron los repuestos para mi reparación?,seguimiento_reparacion
Hola quería saber el estado de mi cel,seguimiento_reparacion
Cuánto más falta para terminar mi reparación?,seguimiento_reparacion
Dejé el iPhone para cambio de batería hace 3 días,seguimiento_reparacion
Me avisan por WhatsApp cuando esté listo?,seguimiento_reparacion
Ya tienen el diagnóstico de mi celular?,seguimiento_reparacion
A qué hora cierran para poder recoger mi cel?,seguimiento_reparacion
Dejé mi iPhone 12 el lunes para revisión aún nada?,seguimiento_reparacion
Puedo llamar para preguntar por mi orden de reparación?,seguimiento_reparacion
Cuál es el número de mi orden para hacer seguimiento?,seguimiento_reparacion
Ya se hizo el cambio de pantalla que dejé ayer?,seguimiento_reparacion
Cuánto tiempo llevan trabajando mi cel?,seguimiento_reparacion
Me pueden confirmar si ya terminaron con mi equipo?,seguimiento_reparacion
Dejé mi cel para diagnóstico el jueves pasado,seguimiento_reparacion
Alguien me puede dar info del estado de mi reparación?,seguimiento_reparacion
Ya se comunicaron con el proveedor por mi repuesto?,seguimiento_reparacion
Sigue en cola mi reparación o ya empezaron?,seguimiento_reparacion
Cuánto falta para que esté lista la batería nueva?,seguimiento_reparacion
Dejé el cel el martes cuándo puedo recogerlo?,seguimiento_reparacion
Me dijeron 2 días y ya pasó una semana qué pasó?,seguimiento_reparacion
Puedo pasar mañana a recoger mi iPhone?,seguimiento_reparacion
Alguna actualización sobre mi orden de servicio?,seguimiento_reparacion
Ya me toca recoger mi cel o todavía no?,seguimiento_reparacion
El case que compré llegó rayado de fábrica,queja_producto_servicio
La mica se despegó de una esquina al segundo día,queja_producto_servicio
Me entregaron el cel con una raya que no tenía antes,queja_producto_servicio
El cargador que me vendieron no carga bien,queja_producto_servicio
Me cambiaron la batería y dura menos que antes,queja_producto_servicio
El case MagSafe no pega bien al celular,queja_producto_servicio
Me dijeron un precio y en la boleta salió más caro,queja_producto_servicio
La reparación quedó con un ruido raro en el altavoz,queja_producto_servicio
El protector de cámara se despintó rapidísimo,queja_producto_servicio
Me entregaron mi cel sin la funda que traía,queja_producto_servicio
La pantalla nueva tiene un punto blanco,queja_producto_servicio
El case que pedí llegó de otro color,queja_producto_servicio
Mi cel salió con menos batería después del cambio,queja_producto_servicio
El vidrio templado vino con una burbuja de aire,queja_producto_servicio
Me cobraron de más por el diagnóstico,queja_producto_servicio
La reparación demoró el doble de lo prometido,queja_producto_servicio
El case llegó sin empaque ni garantía escrita,queja_producto_servicio
Me devolvieron el cel más rayado de como lo dejé,queja_producto_servicio
El accesorio que compré dejó de funcionar en dos días,queja_producto_servicio
Me atendieron mal cuando fui a reclamar,queja_producto_servicio
La mica antiespía no bloquea nada de verdad,queja_producto_servicio
El técnico no me explicó qué le hizo a mi cel,queja_producto_servicio
Me vendieron un repuesto que no era original,queja_producto_servicio
El case se agrietó solo guardado en mi mochila,queja_producto_servicio
Nadie me avisó que se había atrasado mi reparación,queja_producto_servicio
Quiero que me cambien el case está mal hecho,solicitud_garantia_cambio
La mica se rompió sola quiero el cambio,solicitud_garantia_cambio
Puedo cambiar el color del case que compré?,solicitud_garantia_cambio
Quiero garantía por la batería que se agota rápido,solicitud_garantia_cambio
Me pueden cambiar el protector si no funciona bien?,solicitud_garantia_cambio
La reparación no quedó bien exijo que la rehagan,solicitud_garantia_cambio
Quiero devolver el cargador no sirve,solicitud_garantia_cambio
Cuánto dura la garantía de la pantalla cambiada?,solicitud_garantia_cambio
Necesito que revisen de nuevo mi cel por la misma falla,solicitud_garantia_cambio
Quiero cambio del case porque no es el modelo correcto,solicitud_garantia_cambio
La garantía cubre si el case se despega solo?,solicitud_garantia_cambio
Quiero que me devuelvan mi dinero por el producto malo,solicitud_garantia_cambio
Me pueden cambiar la mica por una de mejor calidad?,solicitud_garantia_cambio
Exijo garantía porque el problema volvió a los 2 días,solicitud_garantia_cambio
Quiero cambiar el pedido llegó incompleto,solicitud_garantia_cambio
Aplica la garantía si fue un defecto de fábrica?,solicitud_garantia_cambio
Necesito que me cambien el accesorio por uno nuevo,solicitud_garantia_cambio
Quiero hacer válida la garantía de mi reparación,solicitud_garantia_cambio
El case no aguantó ni una semana quiero cambio,solicitud_garantia_cambio
Pueden revisar de nuevo la reparación sin costo?,solicitud_garantia_cambio
Quiero garantía escrita antes de aceptar el cambio,solicitud_garantia_cambio
Necesito cambiar la mica que vino con defecto,solicitud_garantia_cambio
La batería falló otra vez quiero que respondan por garantía,solicitud_garantia_cambio
Quiero devolver el producto y que me reembolsen,solicitud_garantia_cambio
Puedo cambiar el case dentro de los 7 días de comprado?,solicitud_garantia_cambio
Hola buenas noches,saludo_cierre
Buenos días alguien despierto?,saludo_cierre
Hola disculpen la hora,saludo_cierre
Gracias por la atención,saludo_cierre
Perfecto muchas gracias,saludo_cierre
Ok entendido gracias,saludo_cierre
Buenas tardes quería consultar algo rápido,saludo_cierre
Hola siguen atendiendo hoy?,saludo_cierre
Listo entonces paso mañana,saludo_cierre
Gracias por su tiempo,saludo_cierre
Hola buen día una consulta rápida,saludo_cierre
Ok gracias por la info voy a pensarlo,saludo_cierre
Buenas quería saber algo antes de comprar,saludo_cierre
Chau nos vemos luego,saludo_cierre
Vale gracias quedo atento,saludo_cierre
Hola qué tal,saludo_cierre
Perfecto quedo pendiente entonces,saludo_cierre
Gracias igualmente que estén bien,saludo_cierre
"Ok gracias, cualquier cosa les escribo",saludo_cierre
Buenas noches disculpen la molestia,saludo_cierre
Hola buenas tengo una duda rápida,saludo_cierre
Ya quedó claro gracias por todo,saludo_cierre
Ok perfecto nos vemos en tienda,saludo_cierre
Muchas gracias por la rapidez,saludo_cierre
Hola espero estén bien quería consultar,saludo_cierre
Necesito que alguien me llame ya mismo,escalamiento_urgente
Esto ya es demasiado quiero solución inmediata,escalamiento_urgente
Pueden pasarme con un supervisor ahora?,escalamiento_urgente
Ya me cansé de esperar necesito respuesta ya,escalamiento_urgente
Esto es urgente mi cel es mi único medio de trabajo,escalamiento_urgente
Quiero hablar con el gerente ahora mismo,escalamiento_urgente
No puedo seguir esperando necesito que resuelvan hoy,escalamiento_urgente
Voy a reportar esto si no me atienden ya,escalamiento_urgente
Necesito una respuesta ahora no puedo esperar más,escalamiento_urgente
Esto es inaceptable exijo que me atiendan de inmediato,escalamiento_urgente
Llevo horas escribiendo y nadie responde es urgente,escalamiento_urgente
Necesito que prioricen mi caso es urgente de verdad,escalamiento_urgente
Quiero una solución hoy mismo no mañana,escalamiento_urgente
Esto se está saliendo de control necesito ayuda ya,escalamiento_urgente
Alguien puede atenderme ahora es una emergencia,escalamiento_urgente
No tengo tiempo que perder necesito esto resuelto ya,escalamiento_urgente
Exijo hablar con alguien con autoridad para resolver esto,escalamiento_urgente
Es urgente mi cel se apagó y tengo algo importante hoy,escalamiento_urgente
Necesito que me devuelvan la llamada de inmediato,escalamiento_urgente
Si no me responden hoy voy a cancelar todo,escalamiento_urgente
Esto no puede esperar necesito atención prioritaria,escalamiento_urgente
Ya escribí tres veces necesito que me atiendan ya,escalamiento_urgente
Requiero solución urgente antes de que termine el día,escalamiento_urgente
Necesito hablar con alguien que realmente pueda ayudarme,escalamiento_urgente
Esto es grave necesito que lo resuelvan hoy mismo,escalamiento_urgente
